char_id,ontology,list_of_finest_character
111,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
112,hao,"http://purl.obolibrary.org/obo/HAO_0000827"
112,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
113,hao,"http://purl.obolibrary.org/obo/HAO_0000124"
113,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
114,hao,"http://purl.obolibrary.org/obo/HAO_0001906"
114,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
115,hao,"http://purl.obolibrary.org/obo/HAO_0000825,http://purl.obolibrary.org/obo/HAO_0000862"
115,pato,"http://purl.obolibrary.org/obo/PATO_0000140"
116,hao,"http://purl.obolibrary.org/obo/HAO_0001315"
116,pato,"http://purl.obolibrary.org/obo/PATO_0001334"
117,hao,"http://purl.obolibrary.org/obo/HAO_0000188,http://purl.obolibrary.org/obo/HAO_0001122"
117,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
118,hao,"http://purl.obolibrary.org/obo/HAO_0000978,http://purl.obolibrary.org/obo/HAO_0000350"
118,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
119,hao,"http://purl.obolibrary.org/obo/HAO_0000875"
119,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
120,hao,"http://purl.obolibrary.org/obo/HAO_0000875"
120,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
121,hao,"http://purl.obolibrary.org/obo/HAO_0000177"
121,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
122,hao,"http://purl.obolibrary.org/obo/HAO_0001180"
122,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
123,hao,"http://purl.obolibrary.org/obo/HAO_0001106,http://purl.obolibrary.org/obo/HAO_0000951"
123,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
124,hao,"http://purl.obolibrary.org/obo/HAO_0000855"
124,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
125,hao,"http://purl.obolibrary.org/obo/HAO_0000855"
125,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
126,hao,"http://purl.obolibrary.org/obo/HAO_0000855"
126,pato,"http://purl.obolibrary.org/obo/PATO_0000052"
127,hao,"http://purl.obolibrary.org/obo/HAO_0001080"
127,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
128,hao,"http://purl.obolibrary.org/obo/HAO_0001080"
128,pato,"http://purl.obolibrary.org/obo/PATO_0000117"
129,hao,"http://purl.obolibrary.org/obo/HAO_0000523"
129,pato,"http://purl.obolibrary.org/obo/PATO_0000070"
